"sim.ID","param.name","param.stat","param.stat.val"
"SIM_my_test_sim_20241112_143036","area.m2","mean",1
"SIM_my_test_sim_20241112_143036","JL","mean",20000
"SIM_my_test_sim_20241112_143036","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143036","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143036","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143036","m","mean",0.05
"SIM_my_test_sim_20241112_143036","area.m2","sd",0
"SIM_my_test_sim_20241112_143036","JL","sd",0
"SIM_my_test_sim_20241112_143036","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143036","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143036","IL","sd",0
"SIM_my_test_sim_20241112_143036","m","sd",0
"SIM_my_test_sim_20241112_143036","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143036","trait.Ef","mean",0.464749567350373
"SIM_my_test_sim_20241112_143036","trait.Ef.sd","mean",2
"SIM_my_test_sim_20241112_143036","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143036","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143036","trait.Ef","sd",0.241120440957185
"SIM_my_test_sim_20241112_143036","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143036","regional.RA","sd",0
"SIM_my_test_sim_20241112_143042","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143042","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143042","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143042","nu.sim","fixed_value",0
"SIM_my_test_sim_20241112_143042","JM","fixed_value",1e+06
"SIM_my_test_sim_20241112_143042","W.r","fixed_value",2
"SIM_my_test_sim_20241112_143042","area.m2","mean",1
"SIM_my_test_sim_20241112_143042","JL","mean",20000
"SIM_my_test_sim_20241112_143042","Ef","mean",0.521654093656689
"SIM_my_test_sim_20241112_143042","Ef.specificity","mean",0
"SIM_my_test_sim_20241112_143042","IL","mean",1052.57894736842
"SIM_my_test_sim_20241112_143042","m","mean",0.05
"SIM_my_test_sim_20241112_143042","area.m2","sd",0
"SIM_my_test_sim_20241112_143042","JL","sd",0
"SIM_my_test_sim_20241112_143042","Ef","sd",0.304477168431621
"SIM_my_test_sim_20241112_143042","Ef.specificity","sd",0
"SIM_my_test_sim_20241112_143042","IL","sd",0
"SIM_my_test_sim_20241112_143042","m","sd",0
"SIM_my_test_sim_20241112_143042","trait.dispersal","mean",1
"SIM_my_test_sim_20241112_143042","trait.Ef","mean",0.464749567350373
"SIM_my_test_sim_20241112_143042","trait.Ef.sd","mean",2
"SIM_my_test_sim_20241112_143042","regional.RA","mean",0.1
"SIM_my_test_sim_20241112_143042","trait.dispersal","sd",0
"SIM_my_test_sim_20241112_143042","trait.Ef","sd",0.241120440957185
"SIM_my_test_sim_20241112_143042","trait.Ef.sd","sd",0
"SIM_my_test_sim_20241112_143042","regional.RA","sd",0
"SIM_my_test_sim_20241112_143048","n.sites","fixed_value",50
"SIM_my_test_sim_20241112_143048","n.timestep","fixed_value",100
"SIM_my_test_sim_20241112_143048","alpha.fisher","fixed_value",1
"SIM_my_test_sim_20241112_143048","nu.sim","fixed_value",0
